sku,barcode,name,category_main,category_sub,cost,price_retail,price_credit,unit,source,date_bought
,8858201012887,ไม้บรรทัดพลาสติกแข็ง 12 นิ้ว ลายการ์ตูน GP K-04,,, 4.83 , 8.00 , 8.00 ,อัน,อ.อัษฎางค์,22 March 2568
,8858201008989,ไม้บรรทัดพลาสติกแข็ง 6 นิ้ว คละลาย P12,,, 3.33 , 5.00 , 5.00 ,อัน,อ.อัษฎางค์,22 March 2568
,6975628222049,ยางลบ Fruit Frog,,, 5.42 , 10.00 , 10.00 ,ก้อน,อ.อัษฎางค์,22 March 2568
,8858201012948,ยางลบ Sepia 148E ,,, 1.20 , 5.00 , 5.00 ,ก้อน,อ.อัษฎางค์,22 March 2568
,8858201012979,ยางลบ Sepia 149E ,,, 1.48 , 5.00 , 5.00 ,ก้อน,อ.อัษฎางค์,22 March 2568
,4007817524701,ยางลบ Stedler 50 ก้อน สีขาว 21 กล่อง,,, 3.10 , 6.00 , 6.00 ,ก้อน,อ.อัษฎางค์,22 March 2568
,8851347526393,ยางลบ Stedler 50 ก้อน สีดำ 21 กล่อง,,, 3.40 , 7.00 , 7.00 ,ก้อน,อ.อัษฎางค์,22 March 2568
,8852398142433,ยางลบ YOYA 5885 ,,, 2.40 , 5.00 , 5.00 ,ก้อน,อ.อัษฎางค์,22 March 2568
,8852398139280,ยางลบดินสอ 5881,,, 3.73 , 10.00 , 10.00 ,ก้อน,อ.อัษฎางค์,22 March 2568
,6924485387125,สีเมจิก 12 สี #1871-12,,, 7.50 , 25.00 , 25.00 ,ห่อ,อ.อัษฎางค์,22 March 2568
,6947880011716,สีเมจิก 12 สี กระป๋อง #2117,,, 17.00 , 30.00 , 30.00 ,กล่อง,อ.อัษฎางค์,22 March 2568
,8851907293499,เอลเฟ่น Liso Smile น้ำเงิน คละสี 1x50,,, 1.70 , 5.00 , 5.00 ,แท่ง,อ.อัษฎางค์,22 March 2568
,8851907301118,เอลเฟ่น กบเหลาดินสอ EF-S3 1x48,,, 1.46 , 4.00 , 4.00 ,อัน,อ.อัษฎางค์,22 March 2568
,18851907290136,เอลเฟ่น เทปลบคำผิด 12M ซาฟารี,,, 15.00 , 25.00 , 25.00 ,อัน,อ.อัษฎางค์,22 March 2568
,18851907272279,เอลเฟ่น เทปลบคำผิด Freshy 6M P12,,, 12.50 , 20.00 , 20.00 ,อัน,อ.อัษฎางค์,22 March 2568
,8851907273668,เอลเฟ่น ยางลบดินสอ EF-350 1 x 30.00 ,,, 1.50 , 5.00 , 5.00 ,ก้อน,อ.อัษฎางค์,22 March 2568
,8858201011743,M-TEC เครื่องเย็บกระดาษ #218/219 (โหล),,, 16.67 , 35.00 , 40.00 ,อัน,กบ กิ๊ฟช็อป,20 April 2568
,6942307406809,Post-it 1x8 (7394x6) (โหล),,, 12.08 , 25.00 , 25.00 ,,กบ กิ๊ฟช็อป,20 April 2568
,7000004401325,Post-it 76x76 mm (6741-11) (โหล),,, 8.17 , 20.00 , 20.00 ,ห่อ,กบ กิ๊ฟช็อป,20 April 2568
,7000004402209,Post-it คละแบบ (6147-7) (โหล),,, 7.92 , 16.00 , 16.00 ,แพค,กบ กิ๊ฟช็อป,20 April 2568
,7000004402278,Post-it ดอกไม้ (7394-3) (โหล),,, 7.92 , 20.00 , 20.00 ,ห่อ,กบ กิ๊ฟช็อป,20 April 2568
,8853104985379,SSB กระดาษการ์ดสี 150g A4 100 แผ่น,,, 88.00 , 130.00 , 160.00 ,แพค,กบ กิ๊ฟช็อป,20 April 2568
,5000000210862,SSB กระดาษการ์ดสี 180g A4 50 แผ่น,,, 50.00 , 75.00 , 85.00 ,แพค,กบ กิ๊ฟช็อป,20 April 2568
,8851907276928,แฟ้ม 2 ห่วง 221VB อความารีน วิวบายเดอร์,,, 55.00 , 63.00 , 65.00 ,อัน,เอป๊อป,9 October 2025
,6931981324417,Stick Note THA956/955-3 (โหล),,, 7.92 , 15.00 , 15.00 ,,กบ กิ๊ฟช็อป,20 April 2568
,8851673175869,กบเหลา AVG-829 (โหล),,, 13.75 , 25.00 , 25.00 ,,กบ กิ๊ฟช็อป,20 April 2568
,8851673270786,กบเหลา GU-829 (โหล),,, 13.75 , 25.00 , 25.00 ,,กบ กิ๊ฟช็อป,20 April 2568
,8851673164139,กบเหลา PRC-829 (โหล),,, 13.75 , 25.00 , 25.00 ,,กบ กิ๊ฟช็อป,20 April 2568
,6922698672113,กบเหลาเครื่อง 7211 (9353-7),,, 45.00 , 70.00 , 85.00 ,,กบ กิ๊ฟช็อป,20 April 2568
,6940062396274,กบเหลาเครื่องคาปิบารา 9627A (9353-3),,, 65.00 , 89.00 , 105.00 ,,กบ กิ๊ฟช็อป,20 April 2568
,6940062396182,กบเหลาเครื่องผึ้ง 9618 (9353-4),,, 65.00 , 89.00 , 105.00 ,,กบ กิ๊ฟช็อป,20 April 2568
,6940062396120,กบเหลาเครื่องหมี 9612 (9353-1),,, 65.00 , 89.00 , 105.00 ,,กบ กิ๊ฟช็อป,20 April 2568
,6940062396311,กบเหลาเครื่องอวกาศ 9631A (9353-2),,, 65.00 , 89.00 , 105.00 ,อัน,กบ กิ๊ฟช็อป,20 April 2568
,8852317110048,กระดาษ M.N. NO.503 ไม่มีเส้น 4/40 แผ่น,,, 12.00 , 25.00 , 25.00 ,เล่ม,กบ กิ๊ฟช็อป,20 April 2568
,8852317200565,กระดาษ M.N. NO.504 มีเส้น 4/40 แผ่น,,, 13.33 , 26.00 , 26.00 ,เล่ม,กบ กิ๊ฟช็อป,20 April 2568
,8852317110345,กระดาษ M.N. NO.508 มีเส้น 4/20 แผ่น,,, 6.67 , 15.00 , 15.00 ,เล่ม,กบ กิ๊ฟช็อป,20 April 2568
,8853104985393,กระดาษการ์ดสี 180g A4 100 แผ่น คละสี,,, 105.00 , 165.00 , 170.00 ,แพค,กบ กิ๊ฟช็อป,20 April 2568
,5000000211036,กระดาษน้ำตาลแผ่นใหญ่ (แพค 20),,, 4.25 , 8.00 , 8.00 ,,กบ กิ๊ฟช็อป,20 April 2568
,6935465450500,กระดาษโน้ต BT-07 (โหล),,, 7.92 , 30.00 , 30.00 ,ห่อ,กบ กิ๊ฟช็อป,20 April 2568
,5000000210909,กระดาษพรูฟสร้างแบบ (แพค 20),,, 2.00 , 5.00 , 5.00 ,,กบ กิ๊ฟช็อป,20 April 2568
,5000000242733,กระดาษสาห่อเหรียญ 100 แผ่น คละสี (แพค 10),,, 21.50 , 30.00 , 30.00 ,ห่อ,กบ กิ๊ฟช็อป,20 April 2568
,8851960005701,กระดาษสี DoubleA 180g/50 (แยกสี),,, 52.00 , 68.00 , 79.00 ,ห่อ,กบ กิ๊ฟช็อป,20 April 2568
,5000000246557,กระเป๋าดินสอ A5 K2468-2,,, 5.00 , 12.00 , 12.00 ,,กบ กิ๊ฟช็อป,20 April 2568
,7000004495935,กระเป๋าดินสอ S1332 (โหล),,, 14.17 , 25.00 , 25.00 ,,กบ กิ๊ฟช็อป,20 April 2568
,5000000116270,กระเป๋าดินสอ กระดิ่งใสจิ๋ว (โหล),,, 6.25 , 15.00 , 15.00 ,,กบ กิ๊ฟช็อป,20 April 2568
,5000000116287,กระเป๋าดินสอ ตาข่ายจิ๋ว (โหล),,, 6.25 , 12.00 , 12.00 ,,กบ กิ๊ฟช็อป,20 April 2568
,5000000134786,กระเป๋าดินสอ ใส ทรงกระบอก (โหล),,, 10.42 , 18.00 , 18.00 ,,กบ กิ๊ฟช็อป,20 April 2568
,5000000041176,กระเป๋าดินสอใหญ่ (โหล),,, 10.00 , 20.00 , 20.00 ,,กบ กิ๊ฟช็อป,20 April 2568
,7000004496086,กล่องของขวัญ 12x16x3 cm S1259 (โหล),,, 15.00 , 20.00 , 30.00 ,กล่อง,กบ กิ๊ฟช็อป,20 April 2568
